NodeId;Path;Type;Access;Unit;Min;Max;Default;Description
"ns=2;s=Station.Heartbeat";Station.Heartbeat;UInt32;R;;;;;Счётчик жизни, +1 каждую секунду
"ns=2;s=Station.SimTime";Station.SimTime;String;R;;;;;Модельное время (с учётом ускорения)
"ns=2;s=Station.AmbientTemp";Station.AmbientTemp;Double;R;°C;;;;Температура наружного воздуха
"ns=2;s=Station.Frequency";Station.Frequency;Double;R;Гц;;;;Частота сети
"ns=2;s=Station.BatteryVoltage";Station.BatteryVoltage;Double;R;В;;;;Напряжение ЩПТ 220 В
"ns=2;s=Station.RemoteMode";Station.RemoteMode;Boolean;W;;;;True;Режим управления: 1-дистанционный (команды SCADA разрешены), 0-местный
"ns=2;s=Station.GeneralAlarm";Station.GeneralAlarm;Boolean;R;;;;;Обобщённая аварийная сигнализация
"ns=2;s=Station.GeneralWarning";Station.GeneralWarning;Boolean;R;;;;;Обобщённая предупредительная сигнализация
"ns=2;s=Station.AlarmReset";Station.AlarmReset;Boolean;CMD;;;;False;Квитирование: сброс указателей срабатывания
"ns=2;s=Station.LastEvent";Station.LastEvent;String;R;;;;;Последнее событие журнала
"ns=2;s=VL1.U";VL1.U;Double;R;кВ;;;;ВЛ-110 кВ №1: линейное напряжение
"ns=2;s=VL1.SimLoss";VL1.SimLoss;Boolean;W;;;;False;ВЛ-110 кВ №1: имитация исчезновения напряжения на линии
"ns=2;s=VL1.DS.State";VL1.DS.State;Int32;R;;;;;ВЛ-110 кВ №1, линейный разъединитель: положение (0-промежуточное, 1-отключен, 2-включен)
"ns=2;s=VL1.DS.CmdClose";VL1.DS.CmdClose;Boolean;CMD;;;;False;ВЛ-110 кВ №1, линейный разъединитель: команда «Включить»
"ns=2;s=VL1.DS.CmdOpen";VL1.DS.CmdOpen;Boolean;CMD;;;;False;ВЛ-110 кВ №1, линейный разъединитель: команда «Отключить»
"ns=2;s=VL1.CB.State";VL1.CB.State;Int32;R;;;;;ВЛ-110 кВ №1, выключатель 110 кВ: положение (0-промежуточное, 1-отключен, 2-включен)
"ns=2;s=VL1.CB.CmdClose";VL1.CB.CmdClose;Boolean;CMD;;;;False;ВЛ-110 кВ №1, выключатель 110 кВ: команда «Включить»
"ns=2;s=VL1.CB.CmdOpen";VL1.CB.CmdOpen;Boolean;CMD;;;;False;ВЛ-110 кВ №1, выключатель 110 кВ: команда «Отключить»
"ns=2;s=VL2.U";VL2.U;Double;R;кВ;;;;ВЛ-110 кВ №2: линейное напряжение
"ns=2;s=VL2.SimLoss";VL2.SimLoss;Boolean;W;;;;False;ВЛ-110 кВ №2: имитация исчезновения напряжения на линии
"ns=2;s=VL2.DS.State";VL2.DS.State;Int32;R;;;;;ВЛ-110 кВ №2, линейный разъединитель: положение (0-промежуточное, 1-отключен, 2-включен)
"ns=2;s=VL2.DS.CmdClose";VL2.DS.CmdClose;Boolean;CMD;;;;False;ВЛ-110 кВ №2, линейный разъединитель: команда «Включить»
"ns=2;s=VL2.DS.CmdOpen";VL2.DS.CmdOpen;Boolean;CMD;;;;False;ВЛ-110 кВ №2, линейный разъединитель: команда «Отключить»
"ns=2;s=VL2.CB.State";VL2.CB.State;Int32;R;;;;;ВЛ-110 кВ №2, выключатель 110 кВ: положение (0-промежуточное, 1-отключен, 2-включен)
"ns=2;s=VL2.CB.CmdClose";VL2.CB.CmdClose;Boolean;CMD;;;;False;ВЛ-110 кВ №2, выключатель 110 кВ: команда «Включить»
"ns=2;s=VL2.CB.CmdOpen";VL2.CB.CmdOpen;Boolean;CMD;;;;False;ВЛ-110 кВ №2, выключатель 110 кВ: команда «Отключить»
"ns=2;s=T1.P";T1.P;Double;R;МВт;;;;Т1 (ТДН-16000/110/10): активная мощность (сторона ВН)
"ns=2;s=T1.Q";T1.Q;Double;R;Мвар;;;;Т1 (ТДН-16000/110/10): реактивная мощность (сторона ВН)
"ns=2;s=T1.I_HV";T1.I_HV;Double;R;А;;;;Т1 (ТДН-16000/110/10): ток стороны ВН
"ns=2;s=T1.U_LV";T1.U_LV;Double;R;кВ;;;;Т1 (ТДН-16000/110/10): напряжение на выводах НН
"ns=2;s=T1.Load";T1.Load;Double;R;%;;;;Т1 (ТДН-16000/110/10): загрузка от номинальной мощности
"ns=2;s=T1.OilTemp";T1.OilTemp;Double;R;°C;;;;Т1 (ТДН-16000/110/10): температура верхних слоёв масла
"ns=2;s=T1.WindingTemp";T1.WindingTemp;Double;R;°C;;;;Т1 (ТДН-16000/110/10): температура наиболее нагретой точки обмотки
"ns=2;s=T1.Tap.Position";T1.Tap.Position;Int32;R;;;;;Т1 (ТДН-16000/110/10): положение РПН (1…19, 10 — номинал)
"ns=2;s=T1.Tap.InProgress";T1.Tap.InProgress;Boolean;R;;;;;Т1 (ТДН-16000/110/10): РПН в процессе переключения
"ns=2;s=T1.Tap.CmdRaise";T1.Tap.CmdRaise;Boolean;CMD;;;;False;Т1 (ТДН-16000/110/10): РПН «Прибавить» (только в ручном режиме АРНТ)
"ns=2;s=T1.Tap.CmdLower";T1.Tap.CmdLower;Boolean;CMD;;;;False;Т1 (ТДН-16000/110/10): РПН «Убавить» (только в ручном режиме АРНТ)
"ns=2;s=T1.AVR.Auto";T1.AVR.Auto;Boolean;W;;;;True;Т1 (ТДН-16000/110/10): АРНТ — 1-автоматический режим, 0-ручной
"ns=2;s=T1.AVR.Uset";T1.AVR.Uset;Double;W;кВ;9.5;11.5;10.5;Т1 (ТДН-16000/110/10): АРНТ — уставка напряжения
"ns=2;s=T1.AVR.Deadband";T1.AVR.Deadband;Double;W;%;0.5;5.0;1.2;Т1 (ТДН-16000/110/10): АРНТ — зона нечувствительности
"ns=2;s=T1.AVR.Delay";T1.AVR.Delay;Double;W;с;5.0;300.0;30.0;Т1 (ТДН-16000/110/10): АРНТ — выдержка времени
"ns=2;s=T1.Cooling.FansOn";T1.Cooling.FansOn;Boolean;R;;;;;Т1 (ТДН-16000/110/10): вентиляторы обдува (система охлаждения Д) включены
"ns=2;s=T1.Cooling.FanOnTemp";T1.Cooling.FanOnTemp;Double;W;°C;30.0;80.0;55.0;Т1 (ТДН-16000/110/10): уставка включения обдува по температуре масла
"ns=2;s=T1.Alarm.OilTemp";T1.Alarm.OilTemp;Boolean;R;;;;;Т1 (ТДН-16000/110/10): сигнал «Повышение температуры масла»
"ns=2;s=T1.Alarm.OilTempSet";T1.Alarm.OilTempSet;Double;W;°C;60.0;105.0;85.0;Т1 (ТДН-16000/110/10): уставка сигнала повышения температуры масла
